airline_name,stand_name,priority_score,usage_count,frequency_pct
AFM,B4,100,44,31.21
AFM,B5,68,30,21.28
AFM,B3,68,30,21.28
AFM,B7,34,15,10.64
AFM,B6,18,8,5.67
AFM,B8,9,4,2.84
AFM,B9,9,4,2.84
AFM,B2,4,2,1.42
AFM,A2,2,1,0.71
AFM,B1,2,1,0.71
AFM,A0,2,1,0.71
AFM,B10,2,1,0.71
AIRNESIA,B11,100,36,31.86
AIRNESIA,B13,72,26,23.01
AIRNESIA,B10,63,23,20.35
AIRNESIA,B12,36,13,11.5
AIRNESIA,B8,22,8,7.08
AIRNESIA,B9,11,4,3.54
AIRNESIA,B3,2,1,0.88
AIRNESIA,B7,2,1,0.88
AIRNESIA,B6,2,1,0.88
B. B. N.,B13,100,29,34.94
B. B. N.,B11,72,21,25.3
B. B. N.,B12,62,18,21.69
B. B. N.,B10,37,11,13.25
B. B. N.,B9,6,2,2.41
B. B. N.,B3,3,1,1.2
B. B. N.,B6,3,1,1.2
BATIK AIR,A3,100,328,18.01
BATIK AIR,A2,89,292,16.04
BATIK AIR,B1,72,237,13.01
BATIK AIR,A1,66,217,11.92
BATIK AIR,B7,56,184,10.1
BATIK AIR,B8,49,161,8.84
BATIK AIR,B9,28,93,5.11
BATIK AIR,B6,28,92,5.05
BATIK AIR,B5,17,57,3.13
BATIK AIR,B2,17,57,3.13
BATIK AIR,B3,14,46,2.53
BATIK AIR,B4,8,28,1.54
BATIK AIR,B10,7,23,1.26
BATIK AIR,B11,1,4,0.22
BATIK AIR,B12,0,2,0.11
BIOMANTARA,B4,100,11,42.31
BIOMANTARA,B7,45,5,19.23
BIOMANTARA,B5,27,3,11.54
BIOMANTARA,B6,18,2,7.69
BIOMANTARA,B10,18,2,7.69
BIOMANTARA,B3,18,2,7.69
BIOMANTARA,B8,9,1,3.85
CITILINK,B1,100,235,32.78
CITILINK,B2,48,114,15.9
CITILINK,A3,41,97,13.53
CITILINK,A2,26,63,8.79
CITILINK,B3,11,27,3.77
CITILINK,A1,11,26,3.63
CITILINK,B12,10,24,3.35
CITILINK,B6,8,20,2.79
CITILINK,B5,8,20,2.79
CITILINK,B7,7,17,2.37
CITILINK,B9,6,16,2.23
CITILINK,B11,6,16,2.23
CITILINK,B13,6,15,2.09
CITILINK,B10,4,11,1.53
CITILINK,B8,3,8,1.12
CITILINK,B4,2,7,0.98
CITILINK,A0,0,1,0.14
FLY JAYA,B2,100,69,46.31
FLY JAYA,B1,59,41,27.52
FLY JAYA,A3,24,17,11.41
FLY JAYA,B3,11,8,5.37
FLY JAYA,A2,7,5,3.36
FLY JAYA,B5,4,3,2.01
FLY JAYA,B4,4,3,2.01
FLY JAYA,B6,1,1,0.67
FLY JAYA,B9,1,1,0.67
FLY JAYA,B8,1,1,0.67
GARUDA,B2,100,172,71.37
GARUDA,B1,13,23,9.54
GARUDA,B3,11,19,7.88
GARUDA,B5,7,13,5.39
GARUDA,B4,5,10,4.15
GARUDA,A3,1,2,0.83
GARUDA,B6,0,1,0.41
GARUDA,B9,0,1,0.41
IAT,B4,100,16,21.92
IAT,B5,93,15,20.55
IAT,B6,75,12,16.44
IAT,B3,68,11,15.07
IAT,A3,25,4,5.48
IAT,B7,25,4,5.48
IAT,B2,18,3,4.11
IAT,B1,18,3,4.11
IAT,B9,12,2,2.74
IAT,A2,6,1,1.37
IAT,B8,6,1,1.37
IAT,B11,6,1,1.37
JAYAWIJAYA,B10,100,23,29.87
JAYAWIJAYA,B11,78,18,23.38
JAYAWIJAYA,B13,56,13,16.88
JAYAWIJAYA,B12,47,11,14.29
JAYAWIJAYA,B9,39,9,11.69
JAYAWIJAYA,B8,8,2,2.6
JAYAWIJAYA,B7,4,1,1.3
JETSET,B4,100,34,23.13
JETSET,B5,97,33,22.45
JETSET,B3,70,24,16.33
JETSET,B7,58,20,13.61
JETSET,B6,44,15,10.2
JETSET,B8,26,9,6.12
JETSET,A2,8,3,2.04
JETSET,A1,8,3,2.04
JETSET,B11,5,2,1.36
JETSET,B2,5,2,1.36
JETSET,A3,2,1,0.68
JETSET,B9,2,1,0.68
JIP,B4,100,80,49.38
JIP,B3,40,32,19.75
JIP,B5,23,19,11.73
JIP,B6,13,11,6.79
JIP,A2,6,5,3.09
JIP,A1,5,4,2.47
JIP,B2,3,3,1.85
JIP,B9,3,3,1.85
JIP,B7,2,2,1.23
JIP,A0,1,1,0.62
JIP,B10,1,1,0.62
JIP,B13,1,1,0.62
KARISMA,B4,100,92,37.25
KARISMA,B5,64,59,23.89
KARISMA,B3,28,26,10.53
KARISMA,B6,25,23,9.31
KARISMA,B7,17,16,6.48
KARISMA,B8,13,12,4.86
KARISMA,A1,7,7,2.83
KARISMA,B10,5,5,2.02
KARISMA,B2,3,3,1.21
KARISMA,B9,2,2,0.81
KARISMA,B12,2,2,0.81
PELITA,A1,100,33,40.24
PELITA,A2,66,22,26.83
PELITA,A3,45,15,18.29
PELITA,B5,12,4,4.88
PELITA,B3,9,3,3.66
PELITA,B2,6,2,2.44
PELITA,B13,3,1,1.22
PELITA,B4,3,1,1.22
PELITA,B1,3,1,1.22
POLICE,B5,100,19,95.0
POLICE,B4,5,1,5.0
PREMI,B3,100,95,54.91
PREMI,B6,14,14,8.09
PREMI,B2,13,13,7.51
PREMI,B4,11,11,6.36
PREMI,A1,10,10,5.78
PREMI,B5,8,8,4.62
PREMI,B7,5,5,2.89
PREMI,B9,4,4,2.31
PREMI,A2,4,4,2.31
PREMI,B8,3,3,1.73
PREMI,B12,2,2,1.16
PREMI,B13,2,2,1.16
PREMI,B11,1,1,0.58
PREMI,B1,1,1,0.58
PTN,B3,100,19,23.75
PTN,B5,73,14,17.5
PTN,B6,52,10,12.5
PTN,B7,42,8,10.0
PTN,B8,36,7,8.75
PTN,B9,31,6,7.5
PTN,B4,21,4,5.0
PTN,B1,15,3,3.75
PTN,A1,15,3,3.75
PTN,B11,10,2,2.5
PTN,A3,5,1,1.25
PTN,B10,5,1,1.25
PTN,B2,5,1,1.25
PTN,B13,5,1,1.25
PURAWISATA,B4,100,11,30.56
PURAWISATA,B6,63,7,19.44
PURAWISATA,B3,45,5,13.89
PURAWISATA,A2,45,5,13.89
PURAWISATA,B7,36,4,11.11
PURAWISATA,A1,9,1,2.78
PURAWISATA,B5,9,1,2.78
PURAWISATA,B9,9,1,2.78
PURAWISATA,B13,9,1,2.78
SUSI AIR,A0,100,87,51.79
SUSI AIR,A3,21,19,11.31
SUSI AIR,A2,19,17,10.12
SUSI AIR,B1,16,14,8.33
SUSI AIR,A1,13,12,7.14
SUSI AIR,B6,6,6,3.57
SUSI AIR,B7,6,6,3.57
SUSI AIR,B4,2,2,1.19
SUSI AIR,B2,2,2,1.19
SUSI AIR,B3,1,1,0.6
SUSI AIR,B8,1,1,0.6
SUSI AIR,B5,1,1,0.6
TAS,A1,100,10,20.41
TAS,A3,90,9,18.37
TAS,A2,70,7,14.29
TAS,B3,70,7,14.29
TAS,B2,40,4,8.16
TAS,B4,40,4,8.16
TAS,B1,30,3,6.12
TAS,B5,20,2,4.08
TAS,B6,20,2,4.08
TAS,B7,10,1,2.04
TRAVIRA,B7,100,14,29.17
TRAVIRA,B8,57,8,16.67
TRAVIRA,B6,42,6,12.5
TRAVIRA,B9,28,4,8.33
TRAVIRA,A2,21,3,6.25
TRAVIRA,B3,21,3,6.25
TRAVIRA,B5,14,2,4.17
TRAVIRA,B2,14,2,4.17
TRAVIRA,B12,7,1,2.08
TRAVIRA,B10,7,1,2.08
TRAVIRA,B1,7,1,2.08
TRAVIRA,B11,7,1,2.08
TRAVIRA,B4,7,1,2.08
TRAVIRA,A3,7,1,2.08
TRI MG,B13,100,33,31.43
TRI MG,B12,90,30,28.57
TRI MG,B11,60,20,19.05
TRI MG,B10,42,14,13.33
TRI MG,B9,12,4,3.81
TRI MG,B6,3,1,0.95
TRI MG,B3,3,1,0.95
TRI MG,B8,3,1,0.95
TRI MG,B4,3,1,0.95
TRIGANA,B12,100,110,32.93
TRIGANA,B11,69,76,22.75
TRIGANA,B13,68,75,22.46
TRIGANA,B10,42,47,14.07
TRIGANA,B9,15,17,5.09
TRIGANA,B7,4,5,1.5
TRIGANA,B4,0,1,0.3
TRIGANA,B8,0,1,0.3
TRIGANA,A2,0,1,0.3
TRIGANA,A1,0,1,0.3
