,A0,A1,A2,A3,B1,B10,B11,B12,B13,B2,B3,B4,B5,B6,B7,B8,B9
A0,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A1,2,7,2,0,2,0,0,0,0,5,2,2,0,0,0,43,0
A2,5,6,2,0,4,1,0,1,0,9,2,2,0,1,0,53,0
A3,1,5,2,0,8,0,0,0,0,16,0,1,0,1,1,65,0
B1,1,0,0,0,35,0,0,0,0,24,1,0,1,0,0,51,0
B10,0,0,0,0,0,4,5,13,4,0,0,1,0,0,1,5,0
B11,0,0,0,0,0,4,7,21,6,0,0,0,0,0,0,1,1
B12,0,0,0,0,0,1,2,30,9,0,1,0,0,0,0,0,0
B13,0,0,0,0,0,1,8,18,12,0,1,1,0,0,0,0,0
B2,0,0,0,0,14,0,0,0,0,64,3,1,2,0,0,7,0
B3,0,3,0,0,3,1,0,0,0,6,25,17,4,2,2,10,0
B4,1,0,0,0,0,0,0,1,0,4,9,47,3,4,2,5,0
B5,0,1,0,0,0,0,0,0,0,7,8,22,11,2,1,10,0
B6,0,0,0,0,2,0,0,0,0,2,4,14,4,2,6,16,1
B7,1,0,1,0,2,0,0,0,0,1,2,7,0,3,5,39,3
B8,0,0,0,0,2,0,1,0,0,0,2,2,0,1,4,32,2
B9,0,0,0,0,2,4,0,3,1,1,1,3,0,1,2,17,1
