mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0064106464385986,0.001281164204308,0.0033966064453125,0.0005793346314313,gini,10.0,1,3,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 3}",0.3043478260869565,0.3497267759562841,0.3114754098360656,0.3224043715846995,0.3005464480874317,0.3177001663102874,0.0176585158161887,1
0.0077731132507324,0.0024125378804211,0.0032787799835205,0.000248857260768,gini,10.0,1,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.2989130434782608,0.3497267759562841,0.3114754098360656,0.3224043715846995,0.2950819672131147,0.3155203136136849,0.0196334459107656,2
0.005930471420288,0.0009908361241767,0.0069008827209472,0.0076666955955723,gini,10.0,1,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.3043478260869565,0.3387978142076502,0.3114754098360656,0.3224043715846995,0.3005464480874317,0.3155143739605607,0.0138176299310436,3
0.0060306549072265,0.0011266873271937,0.0060048580169677,0.0028142145112654,gini,,2,2,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0059023380279541,0.0028440742238471,0.0029223442077636,0.0001859514768358,gini,10.0,2,2,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0057325363159179,0.0005259114602187,0.0034775733947753,0.0002015943216626,gini,,2,3,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0051001548767089,0.0004794851118089,0.0037125587463378,0.0005037860422967,gini,,2,5,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0079285621643066,0.0026997142635009,0.0039107799530029,0.0007749039711062,gini,10.0,2,5,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0073204517364501,0.003987423904466,0.0041801452636718,0.0009308655257447,gini,10.0,2,3,"{'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 3}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
0.0075353145599365,0.0018140331533075,0.0043889999389648,0.0015125603825594,gini,15.0,2,2,"{'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.3206521739130434,0.3333333333333333,0.2950819672131147,0.3278688524590163,0.2896174863387978,0.3133107626514612,0.0176657745962547,4
